id,name,pledged,tier_rev,rev_cov
1383912749,THE FANTASY TRIP – Old-School Roleplaying!,314572.11,290210,0.9225547681261381
1384272728,Gates of Krystalia – Lumina: The Card-Based Anime JRPG TTRPG,201566.0643296,110624.32,0.5488241305297681
1384899329,Cities of Hârn,75383.23,52346,0.6943984756291287
1403121700,Heckna! Carnival Horror Campaign Setting for 5e DnD,653970,400195,0.6119470312093827
1404189412,Ryuutama - Natural Fantasy Role-Playing Game,97960.79,87489,0.893102229984058
1408544541,SYMBAROUM - Monster Codex,127058.24454852,95122.57,0.7486532679402426
1419722009,Zagalhta's Exolunar Collection: A 5th Edition Expansion,129927.5671824,79511.47,0.6119676657100575
1438803021,Torg Eternity,355992.02,229058,0.6434357713973475
1450961381,HeroBook - The 5E Player Character Notebook,163526.3643702138,124351.61,0.7604376852559107
1462484204,HULL BREACH Vol. 1,481022.99,365295,0.7594127673606619
1463105356,Vault of Magic for 5th Edition,474240,419470,0.8845099527665317
1467542810,Alice is Missing: A Silent Role Playing Game,138723.12,117151,0.8444951353458602
1472372289,Lex Arcana - An Empire Without End RPG,181155.5661277152,157316.13,0.8684035128630366
1485029332,The North Sea Epilogues RPG + Raiders Play Mat,70243.5547799052,55991.729999999996,0.7971084347231489
1485903280,Out of the Box: Encounters for 5th Edition,256734,214363,0.8349614776383338
1491991867,Lairs & Legends 2 - The Definitive 5e Resource Anthology,298492,166580,0.5580719081248409
1494470168,Wilderfeast,205937.5499065618,131801.73,0.6400082455084137
1498980312,Survivalist's Guide to Spelunking for DnD 5th Edition,131811,110197,0.8360227902071906
1505199645,Ptolus: Monte Cook's City by the Spire,782923,484510,0.6188475750488873
1505558165,Zander's Guide to Zombie Hunting,102607,53704,0.523395090003606
1514249917,Blade Runner RPG: Replicant Rebellion & Asset Pack,434097.8826688,273813.55,0.6307645370592816
1514567798,Hexbound: A Witchy Supplement for 5e,358507.47,287180,0.8010432809112736
1515937553,Empire of the Ghouls: A 5th Edition Campaign vs. the Undead,168687,167691,0.9940955734585356
1521954228,"Pax Viking, Pax Renaissance & High Frontier 4 All: Module 3",300929.02,235226,0.7816660553375676
1529689329,Carbon 2185 | A Cyberpunk RPG,184619.13834126,159594.38,0.8644519817062364
1533965752,Cats of Catthulhu 10th Anniversary Edition,75325,49398,0.6557982077663458
1534205096,The Broken Empires RPG™: Sim-Lite d100 Skills-Based TTRPG,523181,460696,0.8805671459781605
1540688098,Spectaculars,107370,92395,0.8605290118282575
1545265670,Exclusive Numenera Boxed Set Edition,286565,277650,0.9688901296389999
1548054552,Shadow of the Demon Lord,140122,83580,0.5964802101026249
1553140183,Legendary Dragons: A 5th Edition Supplement,105116.53,100970,0.9605530167329535
1553292871,"Seeds of Decay - 5e campaign setting, bestiary, & adventure",126291,87194,0.6904213285190552
1560287541,The Angry GM: The Website: The Book,89021.59,67359,0.7566591430236194
1569204663,Historica Arcanum: Era of the Crusades (5E+),387718.98,308238,0.7950036389758376
1570052732,"No Thank You, Evil! a Game of Make-Believe for Families",111750,102000,0.912751677852349
1578559896,Quest Decks: Adventure Cards for your RPG Games,182961.25,182089,0.9952325970663187
1589666710,Stars Without Number: Revised Edition,192036,191665,0.9980680705701014
1590125059,Into the Fey - A Fifth Edition Module for Levels 1-5,95493.1,93765,0.981903404539176
1590366055,Over the Edge: A Roleplaying Game of Weird Urban Danger,134333.5,119105,0.8866366170761575
1595192826,Vaesen - Nordic Horror Roleplaying,284201.4119272688,188092.09000000003,0.6618267260689594
1596179847,Strata: a Spire RPG sourcebook,71674.506673,70848.61,0.9884771209271384
1598899255,Rifts® for Savage Worlds,438076.75,238005,0.5432952102571068
1612941899,Xenolanguage: A Game about First Contact,102409.01,89705,0.8759483174380849
1616274779,Cthulhu Dark,91978.23295455,80009.97,0.8698793989610131
1631893391,IRON KINGDOMS: REQUIEM *5e*,594119,469150,0.789656617613643
1633313249,The Ultimate Customizable Adventure Notebook for TTRPGs！,111810.16436058,53997.79,0.48294169236582896
1639044234,Grimmerspace,188281.36,124685,0.6622269989976703
1648850656,Ginny Di’s Library of Witticisms,95234.531192218,70479.14,0.7400586648318498
1657762617,Altered Carbon: The Role Playing Game,372547,283075,0.7598370138532856
1696265492,Venture Maidens Campaign Guide for 5th Edition,107733,71358,0.6623597226476567
1710069226,Old-School Essentials: Advanced Fantasy,291549.55,283640,0.9728706492601343
1720808564,Moonsoon,501567,430075,0.8574627118610275
1722469645,Black Powder and Brimstone,80991.71073752,71703.75,0.8853220823101187
1725538534,BLADE RUNNER – The Roleplaying Game,1677629.3727124976,1366114.97,0.8143127392859
1728700161,The Laundry Roleplaying Game,231867.05048945,196351.53,0.8468280835311442
1744558615,Rise of the Drow: After the Fall 🕷️ 5E Adventure & Setting,119823,85408,0.7127846907521929
1746964170,Designers & Dragons,115348.27,94549,0.8196828613034248
1747102975,"The Ultimate Guide to Alchemy, Crafting & Enchanting for 5E",215371,148805,0.6909240334121122
1763142897,Dragon-Blooded: What Fire Has Wrought for Exalted 3rd Ed.,331392,245700,0.7414180185399768
1764024780,Mutated Monsters: Evolve your 5th edition campaign,89181,64588,0.7242349827878135
1774834513,Kids on Bikes RPG - Strange Adventures in Small Towns,93471.1,90920,0.9727070720254709
1776485541,The Mimic's Grid: The Adaptable RPG Adventure Tile,99004,95910,0.9687487374247505
1779403263,The Mystery of Witchhaven: A 5e Solo Adventure,98673.24921552,84326.20999999999,0.8546005190912127
1789207776,13th Age Second Edition | Storytelling Action Fantasy Game,371277.57546854,289900.64999999997,0.7808191745331102
1789902757,Doppel: Bringing Your RPG Characters to Life,172973,141099,0.8157284662924271
1796339361,Tome of Beasts 3: Full Throttle 5th Edition Monster Mayhem,767501,618332,0.8056432499762215
1798179155,Absolute Power – Superhero Role-Playing Game (2-Volume Set),119095,79842,0.6704059784205886
1805778307,Lairs & Legends,257070,145775,0.5670634457540747
1806465974,Call of Cthulhu Sverige,102452.29956575,74987.1,0.7319220780581517
1808519165,Trinity Continuum: Adventure! Tabletop Roleplaying Game,104660,57410,0.5485381234473533
1810019813,POLARIS RPG,83273.017331835,71650.16,0.8604246885216249
1810789324,Return of the Lazy Dungeon Master,73720.42,72519,0.9837030228530983
1812072872,Elder Mythos Roleplaying Game,115038.3605574,91543.2,0.795762383577461
1814842499,Traveller RPG: The Journal of the Travellers Aid Society,84757.5230094941,61421.61,0.7246744338330872
1816818657,Ironsworn: Starforged,347983.95,263228,0.7564371862552856
1820674530,Household,458491.5,335790,0.7323799895963174
1825656732,Book of Ebon Tides: 5th Edition enters the Plane of Shadow!,183888,180810,0.9832615505090054
1832103406,Worlds Without Number,223463.72,186115,0.8328645025689181
1834000141,Deadlands: Abominable Northwest & More - Savage Worlds,218474,197530,0.904135045817809
1839684496,Campaign Builder: Castles & Crowns for 5th Edition D&D TOV,259016,172702,0.6667618988788337
1844851436,Symbar - Mother of Darkness,172166.4863542946,75634.43,0.43930983085961856
1845631671,Remarkable Shops & Their Wares,114390.69864849,110545.90000000001,0.9663888874365159
1856852949,Top Secret: New World Order - the espionage roleplaying game,123168,102200,0.8297609768771109
1864612634,Traveller RPG: The Great Rift & Deep Space Exploration,147150.98822968,144738.63,0.9836062383358604
1867241734,Castles & Crusades,83573.49,67851,0.8118722815093637
1873071798,Terry Pratchett's Discworld RPG: Adventures in Ankh-Morpork,3040242.54565934,2785567.16,0.9162318855043494
1873713778,Shadows of Kilforth: A Fantasy Quest Game for 1-4 heroes,211028.7380079654,185686.40000000002,0.8799104887458086
1877094825,Monte Cook’s Diamond Throne RPG,89092.90183492,64285.479999999996,0.7215555748662714
1878723476,The Lazy DM's Companion,388314.69,334719,0.8619787214333817
1878744583,Runeway - A Self Discovery Roleplaying Game,86717.30147117,57835.560000000005,0.6669437242489378
1882083597,The Coins of Wonder - RPG / DnD 5e Enhancing Collector Coins,152226.7896783928,108921.72,0.7155226765940296
1884972597,The Burning Wheel Codex,108362,59895,0.5527306620401986
1897165631,Rifts® for Savage Worlds: Europa,141936,126065,0.888181997520009
1898298480,Delve – a Guide to Dungeons for 5E & Shadowdark RPG,428121,257705,0.6019443101366203
1900185281,Changeling: The Lost 2nd Edition,166290,145270,0.873594323170365
1909023001,Numenera 2: Discovery and Destiny,845258,652330,0.7717525299967584
1909188084,LexOccultum - Role Playing Game,125188.6515696,96701.4,0.7724454156792143
1912882038,Midgard Campaign Setting: Dark Roads & Deep Magic,191428,167584,0.8754414192281171
1915340506,Tainted Grail TTRPG: Life and Death in Avalon,110088,75258,0.683616742969261
1928617515,Battlestations: Dirtside!,167226,123236,0.7369428198964276
1933829714,SLA Industries 2nd Edition: CULT,75464.51930896,65548.33,0.8685979928082224
1933884879,Fabula Ultima TTJRPG Celebration Edition + Bestiary Vol. I,1725105.47343913,1039299.8099999999,0.6024558069067372
1936746567,Deviant: The Renegades - a tabletop roleplaying game,82569,68715,0.832213058169531
1937274380,Bergin's Book of Beasts - DnD 5e,149431.8019168,92664.97,0.6201154560900872
1938241465,Fantasy World Creator: Chronicles,176534.22731364,165408,0.9369741070445644
1944945198,Planegea: The Prehistoric 5th Edition Campaign Setting,275187,174070,0.6325516830373528
1947542270,"THE ONE RING™ Roleplaying Game, Second Edition",2052363.763070064,1417374.21,0.6906057471409436
1949307344,Mutant: Elysium - Roleplaying Humanity's Final Fall,128978.7196381558,92784.39,0.719377508633227
1960197114,Moria™ – Through the Doors of Durin for The One Ring™ RPG,1224097.2035438835,632127.46,0.5164029932998195
1961061349,"Faster, Purple Worm! Everybody Dies, Vol. 1",232336,202365,0.8710014806142827
