id,name,n_tiers,entry_price,top_price,median_price,tier_rev,tier_backers,top_tier_rev_share,hhi_rev,whale_rev_share,money_max_price
1287070652,Dragon Town and the Darkness Below: Fantasy TTRPG Adventure,4,20,350,69.5,101215,1609,0.12448747715259596,0.3813639213165337,0.12448747715259596,99
1295647260,Zorro™: The Roleplaying Game,5,15,150,60,31530,649,0.30922930542340626,0.25551036075469785,0,150
1296808139,Defiant RPG Reign & Legacy,8,40.05,370.5,90.125,65819.07,616,0.13509762444227788,0.16897566664301553,0.13509762444227788,170.23
1301485413,Paranoia RPG,18,1.6,401.2,104.315,182394.84,2891,0.010998118148517798,0.2161774833575757,0.01253785468931029,48.14
1303186633,Darkest Doom,4,108.46,163.24,130.37,358518.72,2539,0.11701670696581758,0.5009647860617554,0,152.28
1305498045,Professor Primula's Portfolio of Palaeontology,14,6.44,1932.83,83.76,240653.22,2973,0.04015799165288542,0.09854435582945627,0.04015799165288542,122.41
1305532954,More Magic items for 5e: The Griffon's Saddlebag | Book One,10,20,1000,140,442765,6417,0.02258534437003828,0.12977310568009973,0.02258534437003828,40
1308027924,Creed's Codex: Legends of the Psionics (D&D 5E),3,20,50,50,46190,1222,0.13098073176012123,0.49094829891370395,0,50
1311308632,Through the Valley of the Manticore,3,8,37,15,10557,731,0.017523917779672254,0.8616677832635439,0,15
1313878870,KULT: Divinity Lost - Horror Guide & Scenario Collection,10,5.44,846.07,65.275,166257.76,1599,0.061066863886533776,0.30271031056618464,0.19651798508532772,125.11
1320127949,Talislanta: The Savage Land,27,5,275,80,56048,1949,0.009813017413645446,0.07068614554231034,0.03711104767342278,50
1320623133,Shadowrun: Anarchy 2.0,26,35.12,175.61,111.22,216446.44,2310,0.005679326488345108,0.0954481211374212,0,58.54
1324057055,Shotguns & Sorcery for 5E,4,30,200,80,38460,724,0.036401456058242326,0.3854041005113944,0,60
1326050971,"Witch+Craft, a 5e Supplemental",18,15,1000,155,106390,2932,0.028198138922831094,0.2631647659125538,0.028198138922831094,35
1327791986,Echoes in the Deep - A Fateforge Tale: Advanced Solo TTRPG,7,11.41,285.3,57.06,74454.23,1077,0.12645218411364942,0.4461868247446881,0.12645218411364942,91.3
1332155207,The Ultraviolet Grasslands,8,1,222,50,76290,1386,0.008729846637829336,0.22994113550853318,0,75
1337844686,"Lex Arcana - Roma the Eternal City, Atlantis and The Fall",9,1.08,486.42,80.17,167622.00999999998,1398,0.1654075142041311,0.4698309663730953,0.1654075142041311,128.92
1342385545,The Spy Game: 5th Edition Action/Espionage Roleplaying Game,8,1.27,571.44,95.24,28986.350000000002,462,0.09857053406172216,0.22298761551949672,0.19056866421608792,44.44
1343621031,Pirates of Pugmire - A Realms of Pugmire Tabletop RPG,16,5,400,110,33515,671,0.07160972698791586,0.22090373539103728,0.12531702222885274,45
1346159935,Red Giant: A Cursed World TRPG,12,1,125,37.5,30406,1026,0.057554430046701306,0.20901135207578136,0,30
1346194019,Old-School Essentials,16,11.28,225.54,93.035,130829.25,2061,0.0172392641553781,0.17587117805677482,0,78.94
1352812530,Corpus Malicious - The Codex of Evil for 5E,10,1.26,664.22,61.760000000000005,117756.78,2202,0.03384365639074031,0.21300443815587328,0.03384365639074031,78.14
1354627632,Mythological Figures & Maleficent Monsters for D&D,6,18.55,148.41,74.205,105573.71,1829,0.14900925618698063,0.25057923897851325,0,98.94
1356593011,Forgotten Ruin - The Role Playing Game,12,1,5000,200,28992,398,0.17246136865342163,0.11847456434659298,0.42770419426048567,5000
1357069837,Baby Bestiary: Reprint + Digital Goodies,8,10,125,52.5,20020,469,0.1436063936063936,0.23201798201798202,0,55
1359956246,Apocalypse the Risen RPG (5E / 5th Edition & Pathfinder),18,1,1800,82.5,17346,221,0,0.09007737726823342,0.17295053614666206,200
1378803389,Erevan's Guide to Death and Beyond - A 5e Tome,10,1.09,800.62,150.12,902409.1699999999,5380,0.21292868732705808,0.14862150716387307,0.5537259334366028,800.62
1381396851,Electric Bastionland RPG,8,1.28,383.25,38.325,50887.770000000004,1268,0.02259383737978693,0.650246843918824,0.02259383737978693,51.1
1381400711,"Occam's Razor, a collection of scenarios for Call of Cthulhu",5,1.29,64.38,38.63,34819.37,1176,0.03697941691650365,0.3612010112126205,0,51.5
1383654850,When Society Collapsed: Dam Nation - A Tabletop RPG,9,30,499,150,538822,3802,0.06945707487816014,0.22414681071853795,0.6082713771894985,250
1383912749,THE FANTASY TRIP – Old-School Roleplaying!,11,25,2250,500,290210,3330,0.0232590193308294,0.4772001204613851,0.05943971606767513,110
1384272728,Gates of Krystalia – Lumina: The Card-Based Anime JRPG TTRPG,28,1.37,585.6,123.14,110624.32,653,0.052935918611748296,0.13781442602654984,0.4608850025021623,205.23
1384899329,Cities of Hârn,5,1,999,49,52346,912,0.24809918618423565,0.48334677562256184,0.24809918618423565,79
1396850026,Black Void RPG,10,1,331.18,56.44,44766.17,1029,0.029591988771878408,0.23371881106549403,0.029591988771878408,59.76
1403121700,Heckna! Carnival Horror Campaign Setting for 5e DnD,9,20,400,80,400195,5049,0.15192593610614824,0.28356457605370383,0.15192593610614824,120
1404189412,Ryuutama - Natural Fantasy Role-Playing Game,15,1,500,78,87489,2035,0.022860016687812183,0.3753560978377469,0.03143252294574175,50
1408544541,SYMBAROUM - Monster Codex,17,1.23,369.08,98.46,95122.57,1243,0.07760093109343029,0.19331734699738976,0.07760093109343029,67.65
1412009402,"Nibiru, a Science Fiction RPG of Lost Memories",11,1.28,511.21,63.9,33076.22,555,0.015455514566053798,0.19945390822500436,0.015455514566053798,95.85
1413351962,"The Sword, The Crown, and The Unspeakable Power",9,1,500,70,16032,705,0.062375249500998,0.25801143004659344,0.062375249500998,40
1419206014,POSSIBLE WORLDS: An RPG Subscription Box,4,1,50,15,21146,517,0.8441312777830322,0.7347919030080501,0,50
1419722009,Zagalhta's Exolunar Collection: A 5th Edition Expansion,6,20.76,207.64,55.37,79511.47,1671,0.15146393344255865,0.19244320374291157,0,41.53
1437164902,Bestiary - 3D Printable Models,5,20.82,98.9,57.26,43819.56,781,0.5078211647948998,0.42973578594284945,0,98.9
1438803021,Torg Eternity,7,1,1000,70,229058,1683,0.04365706502283265,0.48588668704872945,0.04365706502283265,200
1442144222,INTERFACE ZERO 3.0,8,10,125,35,58880,1291,0.34391983695652173,0.24244583216416585,0,125
1445684453,Dungeon Bitches: A Queer TTRPG,10,5,500,37.5,29055,817,0.017208742040956806,0.3189703267211904,0.048184477714679055,55
1449042446,"MORTASHEEN: a weird, MONSTROUS pen & paper RPG world!",16,1,200,45,21380,470,0.09354536950420954,0.1845355240509608,0,55
1450961381,HeroBook - The 5E Player Character Notebook,14,3.92,783.83,146.57999999999998,124351.61,3318,0.0063033361610677985,0.2244372992345698,0.009454964033035036,22.73
1452914775,5th Edition Adventure: The Undying War,8,19,300,82,46969,605,0.057484723966871765,0.2767674419884303,0.057484723966871765,99
1453368362,Trinity Continuum: Anima Tabletop Roleplaying Game,10,5,450,87.5,32435,705,0.013873901649452751,0.4382489231703615,0.035455526437490364,55
1454526002,Map Maker Adventures - Dungeon Crawl RPG for 1-4 players,8,1,404.64,65.81,39284.57,852,0,0.37787780870471227,0,50.69
1459548309,PunkApocalyptic: The RPG,9,1,500,40,39513,851,0.05061625287879938,0.3722602178140222,0.05061625287879938,60
1462484204,HULL BREACH Vol. 1,4,25,125,65,365295,4779,0.5057556221683844,0.36256570499642365,0,125
1462708379,SHIVER: Roleplaying in the Strange & Unknown,7,19.54,650.02,102.91,42620.979999999996,588,0.030502348843222282,0.36535058959269756,0.03811268534885871,102.91
1463091294,Tiny Supers: Minimalist Superhero Roleplaying,8,10,200,50,38332,1111,0.026087863925701765,0.23751566401592775,0,35
1463105356,Vault of Magic for 5th Edition,8,25,599,82.5,419470,7761,0.01570791713352564,0.2370106341384996,0.01570791713352564,49
1467542810,Alice is Missing: A Silent Role Playing Game,6,1,300,20,117151,4724,0.007682392809280331,0.393742320995783,0.007682392809280331,40
1472372289,Lex Arcana - An Empire Without End RPG,9,1.16,186.18,52.36,157316.13,1634,0.3893638878607044,0.27613970833839974,0,186.18
1478434241,INSPIRISLES,9,1.26,627.85,56.51,27033.399999999998,580,0.023224973551236622,0.29019633352350505,0.0580618790089297,56.51
1485029332,The North Sea Epilogues RPG + Raiders Play Mat,7,0.65,287.22,31.33,55991.729999999996,1701,0.08207497785833731,0.3862697428794761,0.08207497785833731,24.81
1485903280,Out of the Box: Encounters for 5th Edition,10,1,5000,82.5,214363,4037,0,0.19903681601525017,0,115
1487861879,Monsters of the Underworld for 5E,7,14.96,299.28,71.08,28147.04,695,0.08506187506750265,0.22284435165665006,0.08506187506750265,71.08
1488282465,The Tome of Magical Mystery (5E Compatible),11,1,275,70,30858,649,0.04455894743664528,0.13275047072189797,0.04455894743664528,40
1491991867,Lairs & Legends 2 - The Definitive 5e Resource Anthology,8,80,1000,145,166580,1444,0.006003121623244087,0.26822234270909595,0.01320686757113699,120
1494470168,Wilderfeast,6,23.73,134.82,86.28999999999999,131801.73,1608,0.2035571156767062,0.26071936054371725,0,124.04
1498980312,Survivalist's Guide to Spelunking for DnD 5th Edition,4,19,99,34,110197,3003,0.07366806718876194,0.6068492722584224,0,39
1499667041,Svilland: The Norse Mythology Setting for DnD 5E,10,1.29,103.42,45.245000000000005,27171.190000000002,880,0.01903118707719463,0.427455654890694,0,38.78
1502598161,Mnemonic: A Weaver’s Almanac,6,20,100,60,17860,486,0.083986562150056,0.236976910122152,0,30
1505199645,Ptolus: Monte Cook's City by the Spire,10,40,400,210,484510,3482,0.11145280799157913,0.27001979925105846,0.2377866297909228,150
1505558165,Zander's Guide to Zombie Hunting,9,25,189,85,53704,903,0.14429092805005214,0.141577216053996,0,55
1514249917,Blade Runner RPG: Replicant Rebellion & Asset Pack,10,37.36,375.31,79.60499999999999,273813.55,3663,0.0013706772363895068,0.3321527497777369,0.0013706772363895068,65.52
1514336658,Flotsam: Adrift Amongst the Stars,13,1.33,279.25,39.89,12054.2,457,0,0.23376825178273505,0,30.58
1514567798,Hexbound: A Witchy Supplement for 5e,5,20,300,50,287180,4842,0.1546068667734522,0.30099020189946707,0.1546068667734522,100
1515937553,Empire of the Ghouls: A 5th Edition Campaign vs. the Undead,18,10,5000,77,167691,2294,0,0.265926272442021,0.031009416128474396,85
1516103432,Under Hollow Hills,8,1,200,62.5,27997,924,0.07143622530985463,0.2590015802735609,0,30
1520482520,Wulfwald,3,13.34,106.75,53.38,18548.98,418,0.034530200582457905,0.8024403782777975,0,53.38
1521954228,"Pax Viking, Pax Renaissance & High Frontier 4 All: Module 3",9,1,119,74,235226,3244,0.36626903488559936,0.26775744735107265,0,119
1525671074,Dead Man's Rust - a mega-adventure for Scarred Lands 5E,11,5,450,155,18100,426,0.024861878453038673,0.39437639266200664,0.09392265193370165,55
1529689329,Carbon 2185 | A Cyberpunk RPG,12,19.27,642.21,89.905,159594.38,3146,0.012072041634548785,0.2906508834229426,0.04647682455986232,44.95
1533965752,Cats of Catthulhu 10th Anniversary Edition,9,1,288,50,49398,632,0.06996234665371068,0.2728082929680282,0.06996234665371068,89
1534205096,The Broken Empires RPG™: Sim-Lite d100 Skills-Based TTRPG,10,39,469,142,460696,4196,0.10892866445551948,0.13936358311206148,0.22886675812249294,125
1537967390,Bestiary Vol #2 - 3D Printable Models,8,20.44,122.64,71.54,46863.81,754,0.43179587831207067,0.3305585187368113,0,122.64
1540688098,Spectaculars,6,20,230,120,92395,1419,0.004978624384436387,0.28664101288041316,0,65
1540844778,Coriolis RPG,7,1.16,173.46,92.51,18191.280000000002,122,0.820039051677507,0.6813002509584446,0,173.46
1545265670,Exclusive Numenera Boxed Set Edition,6,20,350,200,277650,1961,0.013866378534125697,0.546214400277288,0.28363047001620745,120
1548054552,Shadow of the Demon Lord,14,6,6666,141,83580,1024,0,0.2672832421774548,0.06374730796841349,102
1550488924,Monsters of Feyland for 5th Edition,7,15.62,312.37,46.86,21113.07,428,0.02959020170917825,0.2462446194473459,0.02959020170917825,46.86
1553140183,Legendary Dragons: A 5th Edition Supplement,12,5,2000,52.5,100970,2469,0,0.21138712535351725,0.06239477072397742,40
1553292871,"Seeds of Decay - 5e campaign setting, bestiary, & adventure",7,1,500,50,87194,1272,0.06881207422529073,0.26655599678570574,0.06881207422529073,120
1553437901,Atlas Animalia - A book of monster variants,12,1,200,62.5,39389,792,0.055853156972758895,0.2209650382375059,0,50
1560287541,The Angry GM: The Website: The Book,7,1,10000,45,67359,2198,0,0.3361586012192169,0,25
1564876572,They Came from Beyond the Grave!,9,5,350,100,33550,719,0.03129657228017884,0.43164305338696385,0.05588673621460507,55
1569204663,Historica Arcanum: Era of the Crusades (5E+),9,3,349,99,308238,2500,0.07586021191417022,0.23380823960379324,0.29993706162121475,199
1570052732,"No Thank You, Evil! a Game of Make-Believe for Families",10,20,5000,165,102000,1473,0,0.5148292195309497,0.023529411764705882,70
1575178958,Space Kings: The Book,4,1,50,21,18471,563,0.5522169887932434,0.44252953989470845,0,50
1576689446,Limitless Monsters - 100 DnD5e monsters,7,15,85,25,21755,761,0.19535738910595266,0.19800650788082594,0,25
1578559896,Quest Decks: Adventure Cards for your RPG Games,16,14,270,62.5,182089,3582,0.0029655827644723184,0.09190500562909341,0.0029655827644723184,129
1589305460,5th Edition Monsters & Treasure of Aihrde,10,15,250,97,25907,436,0.057899409426023854,0.19998304340914824,0.057899409426023854,180
1589666710,Stars Without Number: Revised Edition,5,20,175,55,191665,3112,0.4601779145905617,0.2925943039241821,0,175
1590125059,Into the Fey - A Fifth Edition Module for Levels 1-5,11,1,2500,65,93765,2119,0,0.2383471524984023,0.047992321228603425,50
1590366055,Over the Edge: A Roleplaying Game of Weird Urban Danger,18,20,750,105,119105,2144,0.006296964862936065,0.10614981081322741,0.03442340791738382,40
1592901244,Academies of the Arcane,6,16.6,47.02,47.02,31823.269999999997,867,0.042848519338207554,0.4022616666782429,0,38.73
