term,coef
futur,0.011963165388207622
box set,0.011528309858797972
size,0.011151882216889075
female characters,0.011069160627463553
contribut,0.010104394838660834
sea,0.010084407621223791
cat,0.01000896497316868
wargam,0.009599738881745232
hardwood,0.009554759945712551
stone,0.009426040391675572
terrifi,0.008980310836183275
law,0.00866275206199667
dragonban,0.008615555942231243
transform,0.00822784644526013
subclass,0.008190236900496209
lovecraft,0.008067076168176228
rpg gaming,0.008001599682872576
collector,0.007899918035798014
legend,0.007493558759376038
modular terrain,0.007259633903354068
critter,0.0071838668357069296
glass,0.0069061955080431895
castl,0.006848225941056106
magic items,0.0065029491147617895
roll,0.006337887203108794
english,0.006156672240663705
displai,0.005946539622208291
weird west,0.005861464726788368
rpg tabletop,0.005858366798495767
chain,0.005319171335723437
printable stls,0.005196039562959958
supportless,0.005027506640583299
terrain stl,0.0049479308768644835
expans,0.004914333451154679
remast,0.004764427601217018
nsfw sfw,0.004727619161710808
limited edition,0.00468156695250641
set,0.00465273121228458
map,0.004590309255817488
gate,0.004304066096434681
campaign setting,0.003979639050988447
zone,0.003932020589909005
iron,0.003834855291191341
dead,0.0037509558835915756
sandbox,0.003658852884177145
roman,0.003594216365951039
hunt,0.0031735100742768113
scaveng,0.0031081454670977087
campaign,0.0029488414198810516
author,0.0029350233820757614
mystery adventure,0.002485773394111489
horrif,0.0022765022938893045
histor,0.00219748298187732
uncut,0.001938431732166472
touch,0.0017900838493496959
mythic,0.0017380539747566372
heroic,0.0016881367510184853
storag,0.001481283775756096
articl,0.0014676767686829916
design,0.0010310045682998617
corpor,9.915057820480953e-4
award winning,9.40901626795709e-4
classic fantasy,4.113143563558274e-4
adventure edition,2.7209278623016825e-4
random,1.1953977177928042e-5
uncut version,2.2366961205054365e-16
rpg system,-5.875138828946389e-5
mechan,-1.8957103173217093e-4
punk,-3.570020406698468e-4
mission,-0.0012402946179421986
miss,-0.0016784969029189755
asset,-0.0019293017095812852
philip,-0.0021162258689390624
print,-0.0023105382743781855
american,-0.002313686442916639
home,-0.0025015911770283937
agent,-0.0028076795711149878
wargames rpg,-0.0028247486357612377
compat,-0.002874289260361199
combat,-0.0028819373436191316
sci fi,-0.002919283302172667
halloween,-0.0030516343034333536
power,-0.003955961131598963
session,-0.004094233894037729
post,-0.004101184550469076
zombi,-0.0043654012979422495
mean,-0.004408782749694994
dare,-0.004484228645505062
diorama,-0.00517238661859843
steampunk,-0.0051749222464077945
fun,-0.005734259178083022
alien,-0.005833571104057114
counter,-0.006314545100763786
minis vtt,-0.006538422360524016
element,-0.006594190528937389
parti,-0.006769520872841853
chill,-0.007329100690279
tarot,-0.007480919365665121
stuff,-0.007534229397415751
fate core,-0.007684154925071285
printable pin,-0.0077730579774368
access,-0.007786146810285498
files role,-0.008171038003599371
reveal,-0.008259052388754334
manag,-0.008372304351076052
aztec,-0.008963640980144691
bloodi,-0.009106687396918233
scene,-0.009409934521076604
fight,-0.009461356051773144
descend,-0.009754072347244009
coaster,-0.009846948663469987
plot,-0.009897932582871524
pathfind,-0.009979407391821741
creatur,-0.009981558475872393
rpg,-0.010015886127881107
barbarian,-0.010123518867638615
begin,-0.010349727419604092
hous,-0.010357026590833285
frontier,-0.010507954593741488
female miniature,-0.010518395082051985
attack,-0.010718748736075269
outpost,-0.010801412467370621
medieval houses,-0.011235346603826265
enjoi,-0.011633866267824639
adversari,-0.011679725394609384
sand,-0.01169329159219685
crawler,-0.011763317416474038
wildlif,-0.01183454827064784
ttrpg adventure,-0.01192608178587973
awaken,-0.012040506211058217
hybrid,-0.01218333125786396
festiv,-0.01219013025121228
region,-0.012687682412847429
zine quest,-0.012885908086202491
idea,-0.013016737654050231
fanzin,-0.013060047895037374
alpha,-0.01323052969071791
modern,-0.01323139458923623
metal miniatures,-0.01323327834802809
reference cards,-0.013404213873084183
realm,-0.013742236859656462
core,-0.01385286326908436
core book,-0.013861631971798663
write,-0.01401477741376485
scifi,-0.014154976971425001
compet,-0.014172529877008337
flesh,-0.014220767825974614
convent,-0.014624326459838946
pathfinder rpg,-0.014787586192371567
heaven,-0.014910573839622689
atlanti,-0.014926174681786135
pulp,-0.015004022394137171
system,-0.015452462867962572
peopl,-0.015578603000723557
fantasy game,-0.015838819695189684
digit,-0.01594208016913884
silenc,-0.015966480178888947
adventure set,-0.01599741802649441
playing game,-0.01616511726822167
custom,-0.01636046212256331
drama,-0.016398525642198316
pbta,-0.016535463938722253
files tabletop,-0.01689459150767345
portal,-0.017207895730701767
breath,-0.01725658071331071
month,-0.017321572699065726
kickstart,-0.01740569182458482
quick,-0.017569054451409497
ttrpg,-0.01764933282230847
card,-0.017764143488681227
seri,-0.01783952943165347
creature feature,-0.018007328719189915
character sheets,-0.018187650667570263
crystal,-0.018230614967706994
introductori,-0.018347738749572427
dive,-0.018541848876053594
art packs,-0.01909200024848047
price,-0.01919095706899965
path,-0.01921877413184834
compatible rpg,-0.019225591310857076
deliv,-0.019372486487270666
past,-0.019458131967611907
compatible character,-0.01954478627674089
setting zine,-0.019556283443286488
potenti,-0.019777425501269267
mighti,-0.019876869118649942
song,-0.020149563865273033
focu,-0.020901845727289675
natur,-0.021074197253261213
introduc,-0.021090059799892338
rpg sessions,-0.021931073285587285
stl pre,-0.022186159265580124
relaunch,-0.02237670722853128
roleplay game,-0.022494435191378757
superhero,-0.022944298155170573
delight,-0.02311123708948552
easi,-0.02366487416295257
word,-0.024105190104545995
whisper,-0.0243738497121596
charact,-0.025041844869498068
urban,-0.025259902233237107
zine,-0.025264470684446677
lot,-0.025590213366356904
tabletop miniatures,-0.025859328476122594
combin,-0.025898748199239884
militari,-0.026199393269494362
space opera,-0.026227304349964575
rpg adventure,-0.026269107443066556
total,-0.027072817872852158
sell,-0.027168170321563986
survivor,-0.02719842206995293
fund,-0.027379286448737238
